"match_id","player_id","aces","double_faults","unforced_errors","winners","break_points_won","break_points_total"
1,1,9,2,27,36,5,16
1,3,4,2,46,32,2,6
2,1,12,5,58,78,4,14
2,4,17,4,55,56,2,7
3,3,12,3,42,46,3,8
3,2,26,2,42,72,2,18
4,9,8,3,0,31,0,4
4,2,5,2,0,33,3,12
5,11,5,2,25,35,2,8
5,12,6,3,24,28,3,6
6,15,2,0,19,14,3,4
6,12,6,0,29,31,4,10
7,11,6,3,24,31,4,5
7,19,3,3,20,19,2,6
11,1,5,0,26,28,1,3
11,2,8,5,24,25,2,2
12,1,9,2,38,47,3,11
12,7,14,2,39,37,1,9
14,2,11,0,14,27,2,4
14,9,6,2,14,22,0,1
15,8,8,2,13,20,0,0
15,2,6,2,8,22,1,6
16,20,6,7,0,0,9,16
16,16,0,8,0,0,8,15
17,12,10,4,0,0,3,10
17,17,0,2,0,0,0,7
18,14,1,7,0,0,7,9
18,17,0,0,0,0,5,6
19,11,10,3,0,0,8,17
19,15,5,4,0,0,7,12
20,19,0,0,0,0,0,0
20,16,0,0,0,0,0,0
8,11,10,3,0,0,0,0
8,12,12,2,0,0,0,0
9,20,6,4,0,0,0,0
9,19,8,10,0,0,0,0
10,1,2,2,0,0,0,0
10,10,4,0,0,0,0,0
13,4,4,3,0,0,0,0
13,2,8,2,0,0,0,0
