"team_id","personnel_id","start_date","role","end_date"
1,1,2018-01-01,head_coach,2025-12-17
2,2,2026-01-01,head_coach,
3,3,2022-02-01,head_coach,
4,4,2025-05-20,head_coach,
5,5,2026-01-01,head_coach,
6,6,2026-01-01,head_coach,
7,7,2026-01-01,head_coach,
8,8,2021-01-01,head_coach,
9,9,2017-01-01,head_coach,
10,10,2023-01-01,head_coach,
11,11,2017-01-01,head_coach,2025-08-31
12,12,2020-09-01,head_coach,
13,13,2025-01-01,head_coach,
14,14,2024-10-17,head_coach,2026-03-23
14,22,2024-10-17,psychologist,2026-03-23
14,23,2024-10-17,fitness_coach,2026-03-23
15,15,2019-03-01,head_coach,
16,16,2024-02-01,head_coach,
17,17,2023-07-01,head_coach,
18,18,2025-12-09,head_coach,
19,19,2026-01-01,head_coach,
20,20,2026-01-01,head_coach,
21,21,2024-04-01,head_coach,
22,24,2020-08-01,head_coach,2020-08-31
23,24,2020-01-01,head_coach,2020-12-31
24,1,2017-08-01,head_coach,2018-02-28
