"player_id","base_id","start_date","end_date","is_primary"
1,1,2018-01-01,,true
1,19,2018-01-01,2019-12-31,false
2,13,2014-01-01,2022-02-28,true
3,2,2023-01-01,,true
4,16,2013-01-01,2018-12-31,true
5,10,2024-01-01,,true
6,20,2017-01-01,,true
7,11,2013-01-01,2015-12-31,true
8,2,2024-01-01,,true
8,3,2023-02-01,2023-02-28,false
9,4,2024-01-01,,true
10,5,2014-01-01,2021-12-31,true
11,7,2014-01-01,2017-12-31,true
12,8,2010-01-01,2018-12-31,true
13,9,2016-01-01,2018-12-31,true
14,4,2014-01-01,2018-12-31,true
15,12,2025-01-01,,true
16,12,2025-01-01,,true
17,10,2024-01-01,,true
18,15,2024-01-01,,true
19,6,2021-01-01,,true
20,5,2022-01-01,,true
