"sponsor_id","sponsor_name","country","industry"
1,BMW,Germany,Cars
2,Babolat,France,Sports Equipment
3,Nike,USA,Sportswear
4,Lacoste,France,Clothing
5,Hublot,Switzerland,Luxury Watches
6,adidas,Germany,Sportswear
7,ASICS,Japan,Sportswear
8,HEAD,Austria,Sports Equipment
9,Wilson Sporting Goods,USA,Sports Equipment
10,BOSS,Germany,Fashion
11,Rolex,Switzerland,Luxury Watches
12,On,Switzerland,Sportswear
13,Emirates,UAE,Airline
14,OAKBERRY,Brazil,Food & Beverage
15,Yonex,Japan,Sports Equipment
16,Lancome,France,Beauty
17,New Balance,USA,Sportswear
18,Ready,USA,Sports Nutrition
19,Gatorade,USA,Sports Nutrition
20,Alfa Romeo,Italy,Cars
21,Amazfit,China,Smart Devices
22,Diadem Sports,USA,Sports Equipment
23,Porsche,Germany,Cars
