"tournament_id","tournament_name","location","category","start_date","end_date","surface","prize_pool"
1,Australian Open 2026,"Melbourne, Australia",Grand Slam,2026-01-18,2026-02-01,Hard,
2,BNP Paribas Open 2026 WTA,"Indian Wells, USA",WTA 1000,2026-03-04,2026-03-15,Hard,
3,Miami Open 2026 WTA,"Miami, USA",WTA 1000,2026-03-18,2026-03-31,Hard,
4,BNP Paribas Open 2026 ATP,"Indian Wells, USA",ATP Masters 1000,2026-03-04,2026-03-15,Hard,
5,ATP Finals 2025,"Turin, Italy",ATP Finals,2025-11-09,2025-11-16,Hard (Indoor),
6,Paris Masters 2025,"Paris, France",ATP Masters 1000,2025-10-27,2025-11-02,Hard (Indoor),
7,Dubai Tennis Championships 2026 ATP,"Dubai, UAE",ATP 500,2026-02-23,2026-02-28,Hard,
8,Ningbo Open 2025 WTA,"Ningbo, China",WTA 500,2025-10-13,2025-10-19,Hard,
9,Wuhan Open 2025 WTA,"Wuhan, China",WTA 1000,2025-10-06,2025-10-12,Hard,
10,Dubai Tennis Championships 2026 WTA,"Dubai, UAE",WTA 1000,2026-02-16,2026-02-22,Hard,
11,Rolex Monte-Carlo Masters 2025,"Monte Carlo, Monaco",ATP Masters 1000,2025-04-06,2025-04-13,Clay,
12,Mutua Madrid Open 2025 ATP,"Madrid, Spain",ATP Masters 1000,2025-04-23,2025-05-04,Clay,
13,Mutua Madrid Open 2025 WTA,"Madrid, Spain",WTA 1000,2025-04-22,2025-05-04,Clay,
14,Internazionali BNL d'Italia 2025 ATP,"Rome, Italy",ATP Masters 1000,2025-05-07,2025-05-18,Clay,
15,Internazionali BNL d'Italia 2025 WTA,"Rome, Italy",WTA 1000,2025-05-06,2025-05-18,Clay,
16,Cincinnati Open 2025 ATP,"Cincinnati, USA",ATP Masters 1000,2025-08-07,2025-08-18,Hard,
17,Cincinnati Open 2025 WTA,"Cincinnati, USA",WTA 1000,2025-08-07,2025-08-18,Hard,
18,US Open 2025,"New York, USA",Grand Slam,2025-08-25,2025-09-07,Hard,
19,Wimbledon 2025,"London, Great Britain",Grand Slam,2025-06-30,2025-07-13,Grass,
20,Roland Garros 2025,"Paris, France",Grand Slam,2025-05-25,2025-06-08,Clay,
